Country,Total Improved (%),Latitude (average),Longitude (average),Country,search: lon lat nation
Somalia,29,10,49,Somalia,
Papua New Guinea,40,-6,147,Papua New Guinea,
Ethiopia,44,8,38,Ethiopia,
Madagascar,46,-20,47,Madagascar,
Mozambique,47,-18.25,35,Mozambique,
Niger,49,16,8,Niger,
Mauritania,50,20,-12,Mauritania,
Afghanistan,50,33,65,Afghanistan,
Angola,51,-12.5,18.5,Angola,
Chad,51,15,19,Chad,
United Republic of Tanzania,53,-6,35,"Tanzania, United Republic of",
Sierra Leone,55,8.5,-11.5,Sierra Leone,
Yemen,55,15,48,Yemen,
Nigeria,58,10,8,Nigeria,
Sudan,58,15,30,Sudan,
Kenya,59,1,38,Kenya,
Zambia,61,-15,30,Zambia,
Togo,61,8,1.1667,Togo,
Guinea-Bissau,64,12,-15,Guinea-Bissau,
Cambodia,64,13,105,Cambodia,
Mali,64,17,-4,Mali,
Tajikistan,64,39,71,Tajikistan,
Rwanda,65,-2,30,Rwanda,
Central African Republic,67,7,21,Central African Republic,
Lao People's Democratic Republic,67,18,105,Lao People's Democratic Republic,
Timor-Leste,69,-8.55,125.5167,Timor-Leste,
Haiti,69,19,-72.4167,Haiti,
Swaziland,71,-26.5,31.5,Swaziland,
Congo,71,-1,15,Congo,
Burundi,72,-3.5,30,Burundi,
Uganda,72,1,32,Uganda,
Senegal,72,14,-14,Senegal,
Liberia,73,6.5,-9.5,Liberia,
Guinea,74,11,-10,Guinea,
Benin,75,9.5,2.25,Benin,
Cameroon,77,6,12,Cameroon,
Lesotho,78,-29.5,28.5,Lesotho,
Burkina Faso,79,13,-2,Burkina Faso,
Iraq,79,33,44,Iraq,
Zimbabwe,80,-20,30,Zimbabwe,
Cê_te d'Ivoire,80,8,-5,C_te d'Ivoire,
Azerbaijan,80,40.5,47.5,Azerbaijan,
Bangladesh,81,24,90,Bangladesh,
Indonesia,82,-5,120,Indonesia,
Mongolia,82,46,105,Mongolia,
Malawi,83,-13.5,34,Malawi,
Myanmar,83,22,98,Myanmar,
Algeria,83,28,3,Algeria,
Morocco,83,32,-5,Morocco,
Peru,85,-10,-76,Peru,
Palau,85,7.5,134.5,Palau,
Nicaragua,85,13,-85,Nicaragua,
Paraguay,86,-23,-58,Paraguay,
Ghana,86,8,-2,Ghana,
Dominican Republic,86,19,-70.6667,Dominican Republic,
Gabon,87,-1,11.75,Gabon,
Honduras,87,15,-86.5,Honduras,
Uzbekistan,87,41,64,Uzbekistan,
Bolivia (Plurinational State of),88,-17,-65,"Bolivia, Plurinational State of",
Nauru,88,-0.5333,166.9167,Nauru,
Djibouti,88,11.5,43,Djibouti,
El Salvador,88,13.8333,-88.9167,El Salvador,
Cape Verde,88,16,-24,Cape Verde,
Sao Tome and Principe,89,1,7,Sao Tome and Principe,
Gambia,89,13.4667,-16.5667,Gambia,
Oman,89,21,57,Oman,
Nepal,89,28,84,Nepal,
Vanuatu,90,-16,167,Vanuatu,
Syrian Arab Republic,90,35,38,Syrian Arab Republic,
Kyrgyzstan,90,41,75,Kyrgyzstan,
South Africa,91,-29,24,South Africa,
Sri Lanka,91,7,81,Sri Lanka,
China,91,35,105,China,
Colombia,92,4,-72,Colombia,
Suriname,92,4,-56,Suriname,
Philippines,92,13,122,Philippines,
Guatemala,92,15.5,-90.25,Guatemala,
India,92,20,77,India,
Pakistan,92,30,70,Pakistan,
Namibia,93,-22,17,Namibia,
Jamaica,93,18.25,-77.5,Jamaica,
Ecuador,94,-2,-77.5,Ecuador,
Guyana,94,5,-59,Guyana,
Marshall Islands,94,9,168,Marshall Islands,
Trinidad and Tobago,94,11,-61,Trinidad and Tobago,
Cuba,94,21.5,-80,Cuba,
Comoros,95,-12.1667,44.25,Comoros,
Viet Nam,95,16,106,Viet Nam,
Albania,95,41,20,Albania,
Kazakhstan,95,48,68,Kazakhstan,
Chile,96,-30,-71,Chile,
Botswana,96,-22,24,Botswana,
Samoa,96,-13.5833,-172.3333,Samoa,
Saint Lucia,96,13.8833,-61.1333,Saint Lucia,
Thailand,96,15,100,Thailand,
Cayman Islands,96,19.5,-80.5,Cayman Islands,
Mexico,96,23,-102,Mexico,
Bhutan,96,27.5,90.5,Bhutan,
Iran (Islamic Republic of),96,32,53,"Iran, Islamic Republic of",
Tokelau,97,-9,-172,Tokelau,
Costa Rica,97,10,-84,Costa Rica,
Jordan,97,31,36,Jordan,
Russian Federation,97,60,100,Russian Federation,
Fiji,98,-18,175,Fiji,
Brazil,98,-10,-55,Brazil,
Tuvalu,98,-8,178,Tuvalu,
Maldives,98,3.25,73,Maldives,
Northern Mariana Islands,98,15.2,145.75,Northern Mariana Islands,
Belize,98,17.25,-88.75,Belize,
Republic of Korea,98,37,127.5,"Korea, Republic of",
Armenia,98,40,45,Armenia,
Democratic People's Republic of Korea,98,40,127,"Korea, Democratic People's Republic of",
Georgia,98,42,43.5,Georgia,
Montenegro,98,42,19,Montenegro,
Ukraine,98,49,32,Ukraine,
Estonia,98,59,26,Estonia,
Mauritius,99,-20.2833,57.55,Mauritius,
Saint Kitts and Nevis,99,17.3333,-62.75,Saint Kitts and Nevis,
Egypt,99,27,30,Egypt,
Kuwait,99,29.3375,47.6581,Kuwait,
United States of America,99,38,-97,United States,
Portugal,99,39.5,-8,Portugal,
Bosnia and Herzegovina,99,44,18,Bosnia and Herzegovina,
Serbia,99,44,21,Serbia,
Croatia,99,45.1667,15.5,Croatia,
Slovenia,99,46,15,Slovenia,
Latvia,99,57,25,Latvia,
New Zealand,100,-41,174,New Zealand,
Uruguay,100,-33,-56,Uruguay,
Australia,100,-27,133,Australia,
Tonga,100,-20,-175,Tonga,
Niue,100,-19.0333,-169.8667,Niue,
French Polynesia,100,-15,-140,French Polynesia,
Singapore,100,1.3667,103.8,Singapore,
Malaysia,100,2.5,112.5,Malaysia,
Aruba,100,12.5,-69.9667,Aruba,
Barbados,100,13.1667,-59.5333,Barbados,
Guam,100,13.4667,144.7833,Guam,
Montserrat,100,16.75,-62.2,Montserrat,
Turks and Caicos Islands,100,21.75,-71.5833,Turks and Caicos Islands,
United Arab Emirates,100,24,54,United Arab Emirates,
Qatar,100,25.5,51.25,Qatar,
Israel,100,31.5,34.75,Israel,
Lebanon,100,33.8333,35.8333,Lebanon,
Cyprus,100,35,33,Cyprus,
Malta,100,35.8333,14.5833,Malta,
Japan,100,36,138,Japan,
Greece,100,39,22,Greece,
Turkey,100,39,35,Turkey,
Spain,100,40,-4,Spain,
Andorra,100,42.5,1.6,Andorra,
Italy,100,42.8333,12.8333,Italy,
Bulgaria,100,43,25,Bulgaria,
Monaco,100,43.7333,7.4,Monaco,
France,100,46,2,France,
Hungary,100,47,20,Hungary,
Switzerland,100,47,8,Switzerland,
Austria,100,47.3333,13.3333,Austria,
Slovakia,100,48.6667,19.5,Slovakia,
Czech Republic,100,49.75,15.5,Czech Republic,
Luxembourg,100,49.75,6.1667,Luxembourg,
Belgium,100,50.8333,4,Belgium,
Germany,100,51,9,Germany,
Netherlands,100,52.5,5.75,Netherlands,
Belarus,100,53,28,Belarus,
Ireland,100,53,-8,Ireland,
United Kingdom,100,54,-2,United Kingdom,
Denmark,100,56,10,Denmark,
Canada,100,60,-95,Canada,
Norway,100,62,10,Norway,
Sweden,100,62,15,Sweden,
Finland,100,64,26,Finland,
Iceland,100,65,-18,Iceland,
Greenland,100,72,-40,Greenland,
