Country,Total Improved (%),Latitude (average),Longitude (average),Country,search: lon lat nation
Somalia,29,10,49,Somalia,
Papua New Guinea,40,-6,147,Papua New Guinea,
Madagascar,46,-20,47,Madagascar,
Afghanistan,50,33,65,Afghanistan,
Chad,51,15,19,Chad,
United Republic of Tanzania,53,-6,35,"Tanzania, United Republic of",
China,91,35,105,China,
India,92,20,77,India,
Russian Federation,97,60,100,Russian Federation,
Brazil,98,-10,-55,Brazil,
Republic of Korea,98,37,127.5,"Korea, Republic of",
Australia,100,-27,133,Australia,
Germany,100,51,9,Germany,
United Kingdom,100,54,-2,United Kingdom,
Norway,100,62,10,Norway,
United States of America,99,38,-97,United States,
Mexico,96,23,-102,Mexico,
